Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Sivan, U., De Angelis, J., Kusumbe, A.P.","57211161853;57211161519;26531281000;","Role of angiocrine signals in bone development, homeostasis and disease",2019,"Open biology","9","10",,"190144","",,,"10.1098/rsob.190144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072847363&doi=10.1098%2frsob.190144&partnerID=40&md5=48058887dc9afd723b266b44b31938a5",Article,"Final",Open Access,Scopus,2-s2.0-85072847363
"Ye, Y., Yang, S., Han, Y., Sun, J., Xv, L., Wu, L., Ming, L.","57193556271;57202836953;57197845038;57193843389;57202830054;57202837344;57210831031;","HOXD-AS1 confers cisplatin resistance in gastric cancer through epigenetically silencing PDCD4 via recruiting EZH2",2019,"Open biology","9","9",,"190068","",,,"10.1098/rsob.190068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072611048&doi=10.1098%2frsob.190068&partnerID=40&md5=2fd36ed1c37197a2a096e61858830351",Article,"Final",Open Access,Scopus,2-s2.0-85072611048
"McClellan, A.J., Laugesen, S.H., Ellgaard, L.","7006324798;57211020942;6603433736;","Cellular functions and molecular mechanisms of non-lysine ubiquitination",2019,"Open biology","9","9",,"190147","",,,"10.1098/rsob.190147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072268636&doi=10.1098%2frsob.190147&partnerID=40&md5=7ac35598ae38c79b8b09022a57006433",Article,"Final",Open Access,Scopus,2-s2.0-85072268636
"Moore, R.E., Townsend, S.D.","57210957614;57192381567;","Temporal development of the infant gut microbiome",2019,"Open biology","9","9",,"190128","",,,"10.1098/rsob.190128","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072039219&doi=10.1098%2frsob.190128&partnerID=40&md5=66cdbe17b9779b1f0e70e5124b5f7f9c",Article,"Final",Open Access,Scopus,2-s2.0-85072039219
"Hustedt, N., Álvarez-Quilón, A., McEwan, A., Yuan, J.Y., Cho, T., Koob, L., Hart, T., Durocher, D.","55315100200;55934310000;57190745705;57210954244;57209891458;57210963208;57190932042;7003395294;","A consensus set of genetic vulnerabilities to ATR inhibition",2019,"Open biology","9","9",,"190156","",,,"10.1098/rsob.190156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072015400&doi=10.1098%2frsob.190156&partnerID=40&md5=ce5645c748d744770683b9ff738dcd7d",Article,"Final",Open Access,Scopus,2-s2.0-85072015400
"Lu, Z., Luo, T., Pang, T., Du, Z., Yin, X., Cui, H., Fang, G., Xue, X.","35085349200;57210896272;56514775300;57210894700;57210893012;57202849856;7201871578;55654052300;","MALAT1 promotes gastric adenocarcinoma through the MALAT1/miR-181a-5p/AKT3 axis",2019,"Open biology","9","9",,"190095","",,,"10.1098/rsob.190095","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071770069&doi=10.1098%2frsob.190095&partnerID=40&md5=b9fefe93103f12959e8cceb06e0b0992",Article,"Final",Open Access,Scopus,2-s2.0-85071770069
"Cai, K., Li, T., Guo, L., Guo, H., Zhu, W., Yan, L., Li, F.","36611262400;56763070400;57194129528;56763105100;56638902100;57161646800;57208922802;","Long non-coding RNA LINC00467 regulates hepatocellular carcinoma progression by modulating miR-9-5p/PPARA expression",2019,"Open biology","9","9",,"190074","",,,"10.1098/rsob.190074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071756511&doi=10.1098%2frsob.190074&partnerID=40&md5=1ce76104022556e12a558d640175522c",Article,"Final",Open Access,Scopus,2-s2.0-85071756511
"Xu, S., Yanagimoto, T., Song, N., Cai, S., Gao, T., Zhang, X.","56168394100;55532280300;57210891939;56167599100;57210559753;55881634400;","Population genomics reveals possible genetic evidence for parallel evolution of Sebastiscus marmoratus in the northwestern Pacific Ocean",2019,"Open biology","9","9",,"190028","",,,"10.1098/rsob.190028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071741221&doi=10.1098%2frsob.190028&partnerID=40&md5=19aa2cea69c5fc132ee31bc60c6162d3",Article,"Final",Open Access,Scopus,2-s2.0-85071741221
"Rosell, A.L., Neukomm, L.J.","57210983068;8762844400;","Axon death signalling in Wallerian degeneration among species and in disease",2019,"Open Biology","9","8", 190118,"","",,,"10.1098/rsob.190118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071643044&doi=10.1098%2frsob.190118&partnerID=40&md5=d0ec0071d5501006d6ab0d9b8af964fc",Review,"Final",Open Access,Scopus,2-s2.0-85071643044
"Littler, S., Sloss, O., Geary, B., Pierce, A., Whetton, A.D., Taylor, S.S.","56728465400;56728575700;57210835407;55978450100;7006645058;35402832700;","Oncogenic MYC amplifies mitotic perturbations",2019,"Open Biology","9","8", 190136,"","",,,"10.1098/rsob.190136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071620465&doi=10.1098%2frsob.190136&partnerID=40&md5=73a6362fdf2e332903c793a87155714b",Article,"Final",Open Access,Scopus,2-s2.0-85071620465
