Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ge, E., Chen, Y., Wu, J., Mace, R.","57211000618; 57210993307; 55745530300; 7005945282","Large-scale cooperation driven by reputation, not fear of divine punishment",2019,"Royal Society Open Science",6,"8", 190991,,,,,10.1098/rsos.190991,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072231449&partnerID=40&md5=9930e8339eaa8139f8ed233692eabdd0",Article,Final,Open Access,Scopus,2-s2.0-85072231449
"Biazzo, I., Monechi, B., Loreto, V.","26537230300; 36961183500; 7004031964","General scores for accessibility and inequality measures in urban areas",2019,"Royal Society Open Science",6,"8", 190979,,,,,10.1098/rsos.190979,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072229531&partnerID=40&md5=3a2c1287ede05adf39d3a81dd57280f0",Article,Final,Open Access,Scopus,2-s2.0-85072229531
"Wang, Y., Zhou, Z.","57211006781; 57198735212","Photocatalytic decolorization of three commercial dyes using a new heteropolyoxotantalate catalyst",2019,"Royal Society Open Science",6,"8", 190015,,,,,10.1098/rsos.190015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072227355&partnerID=40&md5=af41eda950578a098c0bbcabe2e2e9ed",Article,Final,Open Access,Scopus,2-s2.0-85072227355
"Evans, M.R.","57190664316","Will natural resistance result in populations of ash trees remaining in British woodlands after a century of ash dieback disease?",2019,"Royal Society Open Science",6,"8", 190908,,,,,10.1098/rsos.190908,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072222829&partnerID=40&md5=c32a71810d99bd4b509b758c5915dd6f",Article,Final,Open Access,Scopus,2-s2.0-85072222829
"Smaldino, P.E., Turner, M.A., Contreras Kallens, P.A.","45861773400; 57205553250; 57202852312","Correction to: Open science and modified funding lotteries can impede the natural selection of bad science (Royal Society Open Science (2019)) 6(190194) DOI: 10.1098/rsos.190194)",2019,"Royal Society Open Science",6,"8", 191249,,,,,10.1098/rsos.191249,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072222641&partnerID=40&md5=01a2b6f4290c27023c28e94b61cc2574",Erratum,Final,Open Access,Scopus,2-s2.0-85072222641
"Zhou, X., Hu, S., Wang, Y., Ullah, S., Hu, J., Liu, H., Xu, B.","57196194144; 57211001335; 57211006784; 57206406830; 56814003900; 55191089100; 15047344900","The surface adsorption, aggregate structure and antibacterial activity of Gemini quaternary ammonium surfactants with carboxylic counterions",2019,"Royal Society Open Science",6,"8", 190378,,,,,10.1098/rsos.190378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072221406&partnerID=40&md5=d783a6fc08aabe2a94dd47bc5e05cc4e",Article,Final,Open Access,Scopus,2-s2.0-85072221406
"Silva, M.A., Borrell, A., Prieto, R., Gauffier, P., Bérubé, M., Palsbøl, P.J., Colaço, A.","17135969500; 7004925435; 22986226300; 37032585200; 7006602613; 57211005790; 10440227900","Stable isotopes reveal winter feeding in different habitats in blue, fin and sei whales migrating through the Azores",2019,"Royal Society Open Science",6,"8", 181800,,,,,10.1098/rsos.181800,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072220005&partnerID=40&md5=0531ce3b7e250df6672e9c4229f7021d",Article,Final,Open Access,Scopus,2-s2.0-85072220005
"Abdelhameed, A.S., Attwa, M.W., Kadi, A.A.","55567888800; 51763318400; 15922779800","Liquid chromatography–tandem mass spectrometry metabolic profiling of nazartinib reveals the formation of unexpected reactive metabolites",2019,"Royal Society Open Science",6,"8", 190852,,,,,10.1098/rsos.190852,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072219568&partnerID=40&md5=8688475d3a764ad8c9f441188ce075b0",Article,Final,Open Access,Scopus,2-s2.0-85072219568
"Hopkins, T., Roininen, H., Sääksjärvi, I.E.","55776334800; 7004638380; 6506087532","Extensive sampling reveals the phenology and habitat use of Afrotropical parasitoid wasps (Hymenoptera: Ichneumonidae: Rhyssinae)",2019,"Royal Society Open Science",6,"8", 190913,,,,,10.1098/rsos.190913,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072219460&partnerID=40&md5=bbeb1dde64b8f7c4667bb15a65e55dd1",Article,Final,Open Access,Scopus,2-s2.0-85072219460
"Du, R., Tang, S., Wu, X., Xu, Y., Chen, R., Liu, T.","34876642300; 57211003109; 55619295032; 57204144766; 57195472928; 57206875304","Theoretical study of the structures of bimetallic Ag–Au and Cu–Au clusters up to 108 atoms",2019,"Royal Society Open Science",6,"8", 190342,,,,,10.1098/rsos.190342,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072218524&partnerID=40&md5=c677ace49468dcbcce66f227ac30e902",Article,Final,Open Access,Scopus,2-s2.0-85072218524
